,energy,ncapcount,eventcount
0,10,0,0.1235
1,10,1,0.8765
2,20,0,0.0955
3,20,1,0.9005
4,20,2,0.004
5,30,0,0.0935
6,30,1,0.871
7,30,2,0.0355
8,40,0,0.078
9,40,1,0.8105
10,40,2,0.1105
11,40,3,0.001
12,50,0,0.074
13,50,1,0.7345
14,50,2,0.186
15,50,3,0.0055
16,60,0,0.0585
17,60,1,0.6925
18,60,2,0.2235
19,60,3,0.0255
20,70,0,0.0695
21,70,1,0.6285
22,70,2,0.253
23,70,3,0.0485
24,70,4,0.0005
25,80,0,0.0595
26,80,1,0.586
27,80,2,0.278
28,80,3,0.0745
29,80,4,0.002
30,90,0,0.043
31,90,1,0.5195
32,90,2,0.3205
33,90,3,0.114
34,90,4,0.003
35,100,0,0.048
36,100,1,0.491
37,100,2,0.3105
38,100,3,0.1445
39,100,4,0.006
40,200,0,0.019
41,200,1,0.253
42,200,2,0.2685
43,200,3,0.271
44,200,4,0.143
45,200,5,0.0405
46,200,6,0.005
47,300,0,0.018
48,300,1,0.1675
49,300,2,0.215
50,300,3,0.2385
51,300,4,0.188
52,300,5,0.113
53,300,6,0.0425
54,300,7,0.0155
55,300,8,0.0015
56,300,9,0.0005
57,400,0,0.014
58,400,1,0.1365
59,400,2,0.158
60,400,3,0.205
61,400,4,0.1825
62,400,5,0.1465
63,400,6,0.0905
64,400,7,0.043
65,400,8,0.019
66,400,9,0.005
67,500,0,0.008
68,500,1,0.105
69,500,2,0.145
70,500,3,0.1875
71,500,4,0.1895
72,500,5,0.1435
73,500,6,0.1015
74,500,7,0.07
75,500,8,0.0305
76,500,9,0.013
77,500,10,0.003
78,500,11,0.0035
79,600,0,0.006
80,600,1,0.0955
81,600,2,0.12
82,600,3,0.1505
83,600,4,0.1635
84,600,5,0.164
85,600,6,0.1175
86,600,7,0.0905
87,600,8,0.052
88,600,9,0.024
89,600,10,0.009
90,600,11,0.006
91,600,12,0.0015
92,700,0,0.007
93,700,1,0.063
94,700,2,0.097
95,700,3,0.141
96,700,4,0.171
97,700,5,0.1635
98,700,6,0.133
99,700,7,0.103
100,700,8,0.0565
101,700,9,0.037
102,700,10,0.0175
103,700,11,0.0075
104,700,12,0.002
105,700,13,0.001
106,800,0,0.0055
107,800,1,0.06
108,800,2,0.083
109,800,3,0.13
110,800,4,0.1395
111,800,5,0.163
112,800,6,0.1255
113,800,7,0.101
114,800,8,0.075
115,800,9,0.0585
116,800,10,0.031
117,800,11,0.015
118,800,12,0.007
119,800,13,0.005
120,800,14,0.001
121,900,0,0.0025
122,900,1,0.0495
123,900,2,0.072
124,900,3,0.0995
125,900,4,0.1385
126,900,5,0.1315
127,900,6,0.136
128,900,7,0.126
129,900,8,0.0965
130,900,9,0.0645
131,900,10,0.0395
132,900,11,0.024
133,900,12,0.0095
134,900,13,0.0045
135,900,14,0.003
136,900,15,0.0015
137,900,16,0.0015
138,1000,0,0.002
139,1000,1,0.036
140,1000,2,0.0725
141,1000,3,0.0935
142,1000,4,0.1165
143,1000,5,0.1425
144,1000,6,0.1295
145,1000,7,0.124
146,1000,8,0.0855
147,1000,9,0.075
148,1000,10,0.0515
149,1000,11,0.0335
150,1000,12,0.0205
151,1000,13,0.0075
152,1000,14,0.0065
153,1000,15,0.0015
154,1000,16,0.001
155,1000,17,0.0005
156,1000,20,0.0005
157,2000,0,0.002
158,2000,1,0.0045
159,2000,2,0.0115
160,2000,3,0.0205
161,2000,4,0.0345
162,2000,5,0.055
163,2000,6,0.0675
164,2000,7,0.0915
165,2000,8,0.096
166,2000,9,0.096
167,2000,10,0.0975
168,2000,11,0.085
169,2000,12,0.089
170,2000,13,0.0625
171,2000,14,0.0585
172,2000,15,0.0425
173,2000,16,0.0255
174,2000,17,0.0225
175,2000,18,0.014
176,2000,19,0.0115
177,2000,20,0.004
178,2000,21,0.005
179,2000,22,0.0025
180,2000,23,0.001
